source,run_number,density,similar_wanted,ticks,population,percent_similar,percent_unhappy,unhappy_count
netlogo,533,80,40,15,2063,81.63575554879903,0,0
netlogo,534,80,40,12,2051,80.59240975007714,0,0
netlogo,536,80,40,13,2125,80.2387458650942,0,0
netlogo,535,80,40,15,2094,81.18914133962821,0,0
netlogo,537,80,40,19,2117,81.29506778194404,0,0
netlogo,540,80,40,11,2081,81.64359088878965,0,0
netlogo,539,80,40,12,2089,81.92860316990075,0,0
netlogo,538,80,40,25,2098,80.21719988259466,0,0
netlogo,541,80,45,20,2092,87.28850963660439,0,0
netlogo,542,80,45,20,2076,87.42514970059881,0,0
netlogo,543,80,45,21,2063,87.4906142063373,0,0
netlogo,544,80,45,17,2085,88.05793674253621,0,0
netlogo,546,80,45,16,2107,85.95781566021381,0,0
netlogo,545,80,45,24,2059,87.57575757575758,0,0
netlogo,547,80,45,19,2075,87.46277546158427,0,0
netlogo,548,80,45,21,2085,86.09055933708197,0,0
netlogo,549,80,45,17,2089,88.58447488584474,0,0
netlogo,550,80,45,19,2070,86.92077727952167,0,0
netlogo,551,80,45,23,2052,87.06490348077214,0,0
netlogo,552,80,45,20,2065,88.49438202247191,0,0
netlogo,554,80,45,20,2088,88.73840718386575,0,0
netlogo,556,80,45,16,2078,87.10966405209413,0,0
netlogo,553,80,45,31,2097,87.52568241855005,0,0
netlogo,555,80,45,25,2061,87.41511996378452,0,0
netlogo,559,80,45,20,2063,86.85878092939046,0,0
netlogo,558,80,45,25,2073,86.2151275548262,0,0
netlogo,560,80,45,19,2070,87.9808411914384,0,0
netlogo,557,80,45,33,2084,86.86704175303524,0,0
netlogo,561,80,45,12,2082,87.01241134751773,0,0
netlogo,563,80,45,17,2055,86.96703961294224,0,0
netlogo,562,80,45,20,2089,87.41351391137935,0,0
netlogo,564,80,45,18,2074,87.26973191553093,0,0
netlogo,565,80,45,17,2091,87.2955047899779,0,0
netlogo,566,80,45,16,2082,85.22072936660268,0,0
netlogo,567,80,45,18,2099,86.63101604278076,0,0
netlogo,568,80,45,19,2105,87.02577468867652,0,0
netlogo,569,80,45,18,2074,87.53936122357176,0,0
netlogo,570,80,45,19,2065,86.7622641509434,0,0
netlogo,571,80,50,16,2082,85.27189213216772,0,0
netlogo,572,80,50,17,2136,86.78395496129487,0,0
netlogo,573,80,50,21,2070,85.91762568140521,0,0
netlogo,574,80,50,20,2088,87.58448427857772,0,0
netlogo,575,80,50,19,2059,86.04721094572245,0,0
netlogo,576,80,50,17,2066,85.48725637181408,0,0
netlogo,578,80,50,15,2062,86.95784046102517,0,0
netlogo,577,80,50,24,2095,87.5054993400792,0,0
netlogo,579,80,50,19,2077,86.95264954727624,0,0
netlogo,580,80,50,18,2112,86.8032669436882,0,0
netlogo,581,80,50,15,2085,87.28349370836418,0,0
netlogo,582,80,50,23,2064,88.25301204819277,0,0
netlogo,583,80,50,22,2084,87.56645008860012,0,0
netlogo,584,80,50,23,2110,87.1465666474322,0,0
netlogo,585,80,50,17,2118,86.95839311334291,0,0
netlogo,586,80,50,16,2060,85.17058377558757,0,0
netlogo,587,80,50,16,2065,86.91012924556658,0,0
netlogo,589,80,50,18,2097,87.25947521865889,0,0
netlogo,590,80,50,14,2085,86.51169677228309,0,0
netlogo,588,80,50,26,2099,87.41654571843252,0,0
netlogo,591,80,50,19,2087,87.79481132075472,0,0
netlogo,592,80,50,23,2089,86.2629246676514,0,0
netlogo,594,80,50,20,2075,86.97272320763155,0,0
netlogo,593,80,50,26,2068,87.63440860215054,0,0
netlogo,595,80,50,21,2128,86.9903737259343,0,0
netlogo,596,80,50,18,2095,86.63446054750402,0,0
netlogo,597,80,50,20,2061,87.13274069609763,0,0
netlogo,599,80,50,15,2099,86.56519830235622,0,0
netlogo,598,80,50,24,2075,87.70346256288842,0,0
netlogo,600,80,50,17,2046,87.42672014810243,0,0
netlogo,601,80,55,32,2109,93.9669891861127,0,0
netlogo,602,80,55,35,2076,93.99241761446487,0,0
netlogo,603,80,55,34,2052,94.27927927927928,0,0
netlogo,604,80,55,41,2085,93.89746577337606,0,0
netlogo,607,80,55,22,2091,93.74185136897,0,0
netlogo,605,80,55,34,2072,92.87610619469027,0,0
netlogo,606,80,55,31,2076,94.563787812363,0,0
netlogo,608,80,55,37,2106,93.73215305539692,0,0
netlogo,609,80,55,30,2089,94.06240970817683,0,0
netlogo,610,80,55,28,2062,93.17269076305222,0,0
netlogo,611,80,55,27,2058,93.78556454028151,0,0
netlogo,612,80,55,32,2079,94.54837766734873,0,0
netlogo,614,80,55,26,2095,94.33034422910038,0,0
netlogo,615,80,55,32,2075,94.27688686185081,0,0
netlogo,613,80,55,41,2070,93.25461254612546,0,0
netlogo,616,80,55,24,2074,93.27817993795243,0,0
