"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"netlogo/Segregation.nlogox"
"segregation-reference"
"05/23/2026 18:09:07:472 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","visualization","density","%-similar-wanted","[step]","ticks","count turtles","percent-similar","percent-unhappy","count turtles with [not happy?]"
"214","old","70","50","18","18","1802","87.49018067556952","0","0"
"216","old","70","50","16","16","1811","88.16556548775748","0","0"
"215","old","70","50","19","19","1848","88.20560747663552","0","0"
"217","old","70","50","20","20","1792","88.93532338308458","0","0"
"218","old","70","50","17","17","1800","87.10691823899371","0","0"
"220","old","70","50","14","14","1842","87.73975178638585","0","0"
"219","old","70","50","23","23","1778","88.4709231394876","0","0"
"221","old","70","50","18","18","1808","87.5267145910239","0","0"
"222","old","70","50","16","16","1813","88.19899730042422","0","0"
"223","old","70","50","15","15","1829","88.68285222710762","0","0"
"224","old","70","50","17","17","1785","87.80634793089594","0","0"
"225","old","70","50","18","18","1825","87.34008019858697","0","0"
"226","old","70","50","17","17","1804","87.44131455399061","0","0"
"227","old","70","50","14","14","1823","87.64044943820225","0","0"
"228","old","70","50","19","19","1841","88.42025983807193","0","0"
"229","old","70","50","20","20","1813","87.97803490880565","0","0"
"231","old","70","50","17","17","1808","88.39198911141357","0","0"
"230","old","70","50","21","21","1853","86.29365377393917","0","0"
"232","old","70","50","17","17","1793","87.11340206185567","0","0"
"234","old","70","50","15","15","1794","87.88358740843397","0","0"
"233","old","70","50","18","18","1784","88.47524752475248","0","0"
"236","old","70","50","20","20","1816","87.87820389285027","0","0"
"237","old","70","50","13","13","1797","88.00788954635108","0","0"
"235","old","70","50","29","29","1825","88.58342878961436","0","0"
"238","old","70","50","21","21","1809","88.27292110874201","0","0"
"240","old","70","50","19","19","1841","88.46441947565543","0","0"
"239","old","70","50","23","23","1816","88.04982483456598","0","0"
"242","old","70","55","25","25","1818","95.18855656697009","0","0"
"241","old","70","55","35","35","1820","94.55630126771067","0","0"
"244","old","70","55","21","21","1806","95.02201799731955","0","0"
"243","old","70","55","30","30","1839","93.91416944136145","0","0"
"246","old","70","55","23","23","1774","95.51156409251274","0","0"
"245","old","70","55","28","28","1802","94.11877394636015","0","0"
"247","old","70","55","25","25","1814","94.66239155035836","0","0"
"248","old","70","55","20","20","1785","94.88219389725762","0","0"
"249","old","70","55","26","26","1832","93.72447085035277","0","0"
"250","old","70","55","28","28","1829","93.84872700241591","0","0"
"251","old","70","55","26","26","1817","94.60518947171924","0","0"
"252","old","70","55","38","38","1830","94.28092399403874","0","0"
"255","old","70","55","23","23","1850","94.24264438794043","0","0"
"254","old","70","55","29","29","1869","94.69642857142857","0","0"
"253","old","70","55","38","38","1813","94.62001504890895","0","0"
"256","old","70","55","22","22","1843","94.14348462664715","0","0"
"257","old","70","55","21","21","1788","94.93719806763285","0","0"
"258","old","70","55","24","24","1809","94.58531935176359","0","0"
"259","old","70","55","24","24","1803","95.11632378388771","0","0"
"260","old","70","55","24","24","1825","94.36410826844643","0","0"
"261","old","70","55","31","31","1788","94.84516253125601","0","0"
"263","old","70","55","23","23","1821","95.05639097744361","0","0"
"262","old","70","55","29","29","1837","94.42304164373509","0","0"
"264","old","70","55","25","25","1821","95.39485851673756","0","0"
"265","old","70","55","21","21","1846","94.19472247497725","0","0"
"267","old","70","55","22","22","1809","94.0954536879834","0","0"
"266","old","70","55","23","23","1843","94.76173153874136","0","0"
"268","old","70","55","38","38","1862","94.9364823760959","0","0"
"269","old","70","55","21","21","1793","94.2056792018419","0","0"
"270","old","70","55","26","26","1779","94.19216526992788","0","0"
"271","old","70","60","43","43","1827","95.95021363551923","0","0"
"272","old","70","60","28","28","1804","96.27730294396962","0","0"
"274","old","70","60","27","27","1799","96.24521072796935","0","0"
"273","old","70","60","39","39","1814","96.08141525584935","0","0"
"276","old","70","60","31","31","1795","96.14494988434849","0","0"
"275","old","70","60","35","35","1835","95.95096582466567","0","0"
"277","old","70","60","29","29","1799","96.47036255515059","0","0"
"278","old","70","60","28","28","1804","96.27924817798235","0","0"
"280","old","70","60","24","24","1818","95.84592145015107","0","0"
"279","old","70","60","31","31","1848","96.32977761706744","0","0"
"282","old","70","60","31","31","1812","96.38026290722043","0","0"
"281","old","70","60","29","29","1876","96.21022524133","0","0"
"283","old","70","60","25","25","1836","96.14957423176601","0","0"
"284","old","70","60","28","28","1781","96.10872115760657","0","0"
"285","old","70","60","34","34","1818","96.54270229863577","0","0"
"286","old","70","60","33","33","1825","96.49412628487518","0","0"
"287","old","70","60","35","35","1811","96.23242736644798","0","0"
"288","old","70","60","31","31","1831","96.61961367013373","0","0"
"289","old","70","60","36","36","1818","96.23595505617978","0","0"
"290","old","70","60","32","32","1802","96.01221141003626","0","0"
"291","old","70","60","25","25","1796","95.84295612009238","0","0"
"292","old","70","60","34","34","1817","96.4833520389076","0","0"
"293","old","70","60","33","33","1852","96.7765302426657","0","0"
"295","old","70","60","24","24","1844","96.54796511627907","0","0"
"294","old","70","60","37","37","1861","96.52889604580426","0","0"
"296","old","70","60","34","34","1833","96.18447860714947","0","0"
"298","old","70","60","30","30","1822","95.94089038533482","0","0"
"297","old","70","60","34","34","1879","95.87519830777367","0","0"
"299","old","70","60","33","33","1800","96.33326934152429","0","0"
"300","old","70","60","24","24","1831","96.5478841870824","0","0"
